trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Colourcodes,participant,session,date,expName,psychopyVersion,OS,frameRate,study_id,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_4.ran,StimulusPos,key_resp.keys,key_resp.rt,key_resp_2.keys,key_resp_2.rt,key_resp_15.keys,key_resp_15.rt,key_resp_17.keys,key_resp_17.rt,key_resp_9.keys,key_resp_9.rt,key_resp_10.keys,key_resp_10.rt,Circle1_col,Ecc,Circle2_col,similarity,response_time,mouse_5.x,mouse_5.y,mouse_5.leftButton,mouse_5.midButton,mouse_5.rightButton,mouse_5.clicked_name,mouse_10.x,mouse_10.y,mouse_10.leftButton,mouse_10.midButton,mouse_10.rightButton,mouse_10.clicked_name,mouse_7.x,mouse_7.y,mouse_7.leftButton,mouse_7.midButton,mouse_7.rightButton,mouse_7.clicked_name,catchprac,catchnumberprac,mouse_6.x,mouse_6.y,mouse_6.leftButton,mouse_6.midButton,mouse_6.rightButton,mouse_6.clicked_name,duringprac.thisRepN,duringprac.thisTrialN,duringprac.thisN,duringprac.thisIndex,duringprac.ran,key_resp_22.keys,key_resp_22.rt,Circle1_colour,Circle2_colour,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.clicked_name,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.clicked_name,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,catchresponse,catchnumber,response_time_catch,Catch,mouse_11.x,mouse_11.y,mouse_11.leftButton,mouse_11.midButton,mouse_11.rightButton,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,Colourpair,Temporder,mouse_3.clicked_name,mouse_11.clicked_name,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_3.ran,key_resp_instr_Ishi.keys,key_resp_instr_Ishi.rt,Ishi_trial_keyresp.keys,Ishi_trial_keyresp.rt,Ishi_textbox.text,Ishi_mouse.x,Ishi_mouse.y,Ishi_mouse.leftButton,Ishi_mouse.midButton,Ishi_mouse.rightButton,Ishi_loop.thisRepN,Ishi_loop.thisTrialN,Ishi_loop.thisN,Ishi_loop.thisIndex,Ishi_loop.ran,imageaddress,textbox.text,mouse_4.x,mouse_4.y,mouse_4.leftButton,mouse_4.midButton,mouse_4.rightButton,mouse_4.clicked_name,textbox_2.text,mouse_8.x,mouse_8.y,mouse_8.leftButton,mouse_8.midButton,mouse_8.rightButton,mouse_8.clicked_name,textbox_3.text,mouse_9.x,mouse_9.y,mouse_9.leftButton,mouse_9.midButton,mouse_9.rightButton,mouse_9.clicked_name,textbox_4.text,mouse_12.x,mouse_12.y,mouse_12.leftButton,mouse_12.midButton,mouse_12.rightButton,mouse_12.clicked_name,textbox_5.text,mouse_13.x,mouse_13.y,mouse_13.leftButton,mouse_13.midButton,mouse_13.rightButton,mouse_13.clicked_name,textbox_6.text,mouse_14.x,mouse_14.y,mouse_14.leftButton,mouse_14.midButton,mouse_14.rightButton,mouse_14.clicked_name,textbox_7.text,mouse_15.x,mouse_15.y,mouse_15.leftButton,mouse_15.midButton,mouse_15.rightButton,mouse_15.clicked_name
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.7167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9688,-0.38039999999999996,-0.41979999999999995]","[0.9763999999999999,0.30979999999999985,-0.6786]",-20.16665649,67.33332825,1,0,0,response7disk,-2.833312988,3.333328247,1,0,0,rectangle,-2.833312988,3.333328247,1,0,0,2,2,0.0007,0,-2.833312988,3.333328247,1,0,0,0,97,97,56,1,56,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,-4,0.6485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9763999999999999,0.30979999999999985,-0.6786]","[-0.26280000000000003,-0.4746,-0.2158]",-31.5,48.66665649,1,0,0,response7disk,0.5,9.333328247,1,0,0,rectangle,0.5,9.333328247,1,0,0,2,3,0.003,0,0.5,9.333328247,1,0,0,0,98,98,25,1,25,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,4,0.8502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.26280000000000003,-0.2158,-0.3256]","[-0.26280000000000003,-0.2158,-0.3256]",32.5,62.66665649,1,0,0,response1disk,8.5,8,1,0,0,rectangle,8.5,8,1,0,0,2,2,0.003,0,8.5,8,1,0,0,0,99,99,126,1,45,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.7313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.2942,-0.7648,-0.7492000000000001]","[0.7018,0.7176,0.6155999999999999]",-15.5,49.33332825,1,0,0,response7disk,-8.166656494,-5.333343506,1,0,0,rectangle,-8.166656494,-5.333343506,1,0,0,2,1,0.0031,0,-8.166656494,-5.333343506,1,0,0,0,100,100,117,1,36,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.5676,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9138,-0.5296000000000001,-0.5529999999999999]","[0.5449999999999999,-0.31000000000000005,-0.0354000000000001]",-22.83331299,48,1,0,0,response7disk,-1.5,2,1,0,0,rectangle,-1.5,2,1,0,0,2,3,0.0032,0,-1.5,2,1,0,0,0,101,101,116,1,35,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.20799999999999996,-0.655,-0.01980000000000004]","[0.9372,0.20779999999999998,0.2704]",-28.16665649,49.33332825,1,0,0,response7disk,-6.833312988,-7.333343506,1,0,0,rectangle,-6.833312988,-7.333343506,1,0,0,2,2,0.0031,0,-6.833312988,-7.333343506,1,0,0,0,102,102,151,1,70,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.5991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.24719999999999998,-0.0354000000000001,0.3175999999999999]","[-0.26280000000000003,-0.2158,-0.3256]",-29.5,46,1,0,0,response7disk,-2.833312988,2.666656494,1,0,0,rectangle,-2.833312988,2.666656494,1,0,0,2,1,0.0055,0,-2.833312988,2.666656494,1,0,0,0,103,103,145,1,64,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twoone,,-4,0.8166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.4668,-0.8746,-0.2942]","[-0.8118,-0.8198,-0.5452]",-22.16665649,54,1,0,0,response7disk,-8.833312988,2,1,0,0,rectangle,-8.833312988,2,1,0,0,2,3,0.0026,0,-8.833312988,2,1,0,0,0,104,104,47,1,47,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,3,0.8501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.5922000000000001,-0.7492000000000001,-0.5296000000000001]","[-0.4668,-0.8746,-0.2942]",42.5,30,1,0,0,response1disk,9.166687012,4,1,0,0,rectangle,9.166687012,4,1,0,0,2,2,0.0023,0,9.166687012,4,1,0,0,0,105,105,29,1,29,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.7352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9763999999999999,0.30979999999999985,-0.6786]","[-0.2942,-0.24719999999999998,-0.357]",-18.83331299,62.66665649,1,0,0,response7disk,-2.833312988,-7.333343506,1,0,0,rectangle,-2.833312988,-7.333343506,1,0,0,2,3,0.003,0,-2.833312988,-7.333343506,1,0,0,0,106,106,53,1,53,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.7328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.6942,-0.7648,-0.12959999999999994]","[0.9763999999999999,0.8588,-0.05900000000000005]",-24.16665649,59.33332825,1,0,0,response7disk,6.5,-4,1,0,0,rectangle,6.5,-4,1,0,0,2,2,0.0034,0,6.5,-4,1,0,0,0,107,107,20,1,20,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,-4,0.5491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.22340000000000004,-0.9296,-0.7884]","[0.04299999999999993,0.16060000000000008,-0.6628000000000001]",-20.16665649,48,1,0,0,response7disk,-0.833312988,-3.333343506,1,0,0,rectangle,-0.833312988,-3.333343506,1,0,0,2,1,0.0036,0,-0.833312988,-3.333343506,1,0,0,0,108,108,156,1,75,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-4,0.5184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.0351999999999999,0.41159999999999997,0.0038000000000000256]","[-0.9688,-0.7412000000000001,-0.4902000000000001]",-31.5,61.33332825,1,0,0,response7disk,-4.166656494,6,1,0,0,rectangle,62.5,-35.33334351,1,0,0,2,2,3.0341,1,-6.166656494,-3.333343506,1,0,0,0,109,109,97,1,16,second,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,0.7337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9686000000000001,0.3802000000000001,0.19999999999999996]","[0.3802000000000001,0.19199999999999995,-0.6394]",-30.83331299,52,1,0,0,response7disk,-1.5,-2,1,0,0,rectangle,-1.5,-2,1,0,0,2,2,0.0004,0,-1.5,-2,1,0,0,0,110,110,149,1,68,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,2,1.1317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.34920000000000007,-0.702,-0.5216]","[0.18419999999999992,-0.4276,-0.404]",53.83334351,-39.33334351,1,0,0,response3disk,11.83334351,2,1,0,0,rectangle,11.83334351,2,1,0,0,2,1,0.003,0,11.83334351,2,1,0,0,0,111,111,62,1,62,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.8999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.09019999999999995,0.44300000000000006,0.5371999999999999]","[0.9686000000000001,0.5763999999999998,0.11359999999999992]",-21.5,43.33332825,1,0,0,response7disk,-12.16665649,-6.666687012,1,0,0,rectangle,57.83337402,31.33332825,1,0,0,3,3,4.6478,1,-12.16665649,-6,1,0,0,0,112,112,160,1,79,second,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,-4,0.7171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.19199999999999995,0.18419999999999992,0.5136000000000001]","[-0.9844,-0.9688,-0.9922]",-43.5,56.66665649,1,0,0,response7disk,-5.5,6.666656494,1,0,0,rectangle,-5.5,6.666656494,1,0,0,3,1,0.003,0,-5.5,6.666656494,1,0,0,0,113,113,43,1,43,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threefour,,-4,0.7481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.8118,-0.8198,-0.5452]","[-0.4746,-0.0354000000000001,0.5449999999999999]",-24.83331299,64,1,0,0,response7disk,-4.166656494,4.666656494,1,0,0,rectangle,-4.166656494,4.666656494,1,0,0,3,1,0.0003,0,-4.166656494,4.666656494,1,0,0,0,114,114,138,1,57,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-2,1.2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.7412000000000001,-0.08239999999999992,-0.6864]","[-0.24719999999999998,0.5213999999999999,-0.12959999999999994]",-44.16665649,-24.66668701,1,0,0,response5disk,3.833343506,2,1,0,0,rectangle,3.833343506,2,1,0,0,3,3,0.0025,0,3.833343506,2,1,0,0,0,115,115,38,1,38,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-3,1.9336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.7018,0.7176,0.6155999999999999]","[-0.5688,-0.08239999999999992,-0.1844]",-44.16665649,30.66665649,1,0,0,response7disk,4.5,-0.666687012,1,0,0,rectangle,4.5,-0.666687012,1,0,0,3,3,0.0007,0,4.5,-0.666687012,1,0,0,0,116,116,158,1,77,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,threeone,,-4,1.0498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.7412000000000001,-0.08239999999999992,-0.6864]","[0.7802,-0.23140000000000005,-0.20799999999999996]",-26.83331299,60.66665649,1,0,0,response7disk,-10.16665649,-6.666687012,1,0,0,rectangle,-10.16665649,-6.666687012,1,0,0,3,2,0.0033,0,-10.16665649,-6.666687012,1,0,0,0,117,117,52,1,52,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.7668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.9688,-0.7412000000000001,-0.4902000000000001]","[0.7018,0.7176,0.6155999999999999]",-28.16665649,47.33332825,1,0,0,response7disk,-8.833312988,3.333328247,1,0,0,rectangle,-8.833312988,3.333328247,1,0,0,3,1,0.0029,0,-8.833312988,3.333328247,1,0,0,0,118,118,34,1,34,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-4,1.2838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.48240000000000005,0.3175999999999999,0.2156]","[-0.26280000000000003,-0.2158,-0.3256]",-30.16665649,46.66665649,1,0,0,response7disk,-8.166656494,1.333328247,1,0,0,rectangle,54.5,-24.00003052,1,0,0,2,2,2.2647,1,2.5,-1.333343506,1,0,0,0,119,119,11,1,11,first,response3disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,-4,1.0337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.2862,0.7802,0.3568]","[0.5528,0.7409999999999999,-0.71]",-30.16665649,68.66665649,1,0,0,response7disk,0.5,5.333328247,1,0,0,rectangle,0.5,5.333328247,1,0,0,2,1,0.0027,0,0.5,5.333328247,1,0,0,0,120,120,99,1,18,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourtwo,,4,0.9167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.26280000000000003,-0.2158,-0.3256]","[-0.26280000000000003,-0.2158,-0.3256]",37.16668701,62,1,0,0,response1disk,-2.166656494,4,1,0,0,rectangle,-2.166656494,4,1,0,0,2,2,0.0028,0,-2.166656494,4,1,0,0,0,121,121,45,1,45,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.7731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.6547999999999998,-0.043199999999999905,-0.011800000000000033]","[-0.24719999999999998,0.5213999999999999,-0.12959999999999994]",-18.83331299,43.33332825,1,0,0,response7disk,-4.166656494,-3.333343506,1,0,0,rectangle,-4.166656494,-3.333343506,1,0,0,2,2,0.0007,0,-4.166656494,-3.333343506,1,0,0,0,122,122,5,1,5,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,-4,0.6173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[-0.24719999999999998,0.5213999999999999,-0.12959999999999994]","[0.6547999999999998,-0.043199999999999905,-0.011800000000000033]",-26.16665649,70,1,0,0,response7disk,-9.5,7.333328247,1,0,0,rectangle,-9.5,7.333328247,1,0,0,2,2,0.0012,0,-9.5,7.333328247,1,0,0,0,123,123,86,1,5,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onetwo,,-4,0.6007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9686000000000001,0.5763999999999998,0.11359999999999992]","[-0.5922000000000001,-0.7492000000000001,-0.5296000000000001]",-36.16665649,57.33332825,1,0,0,response7disk,-10.83331299,0.666656494,1,0,0,rectangle,-10.83331299,0.666656494,1,0,0,2,3,0.0029,0,-10.83331299,0.666656494,1,0,0,0,124,124,24,1,24,first,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,onethree,,2,1.5838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.18419999999999992,-0.4276,-0.404]","[0.3881999999999999,-0.23939999999999995,-0.05040000000000011]",55.16668701,-29.33334351,1,0,0,response3disk,10.5,0.666656494,1,0,0,rectangle,10.5,0.666656494,1,0,0,2,2,0.0024,0,10.5,0.666656494,1,0,0,0,125,125,140,1,59,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,twofour,,2,1.0519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.19199999999999995,0.18419999999999992,0.5136000000000001]","[-0.17659999999999998,0.3253999999999999,0.19999999999999996]",59.16668701,-24.00003052,1,0,0,response3disk,-10.16665649,6,1,0,0,rectangle,64.5,26,1,0,0,3,3,4.5816,1,-12.83331299,-5.333343506,1,0,0,0,126,126,136,1,55,second,response1disk_3,rectangle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,616ff9687de15c02fc267080,62c53a9c2f6e3a324060b81f,2022-07-06_09h33.05.618,Colour_Asymmetry_Pilot,2022.1.3,Win32,59.70862193,62c50e9c1127f2cd403a315f,,,,,,,,,,,,,,,,,,,,fourthree,,-4,0.8284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[0.9213999999999998,0.6391999999999998,-0.9922]","[0.11359999999999992,0.6312,0.5213999999999999]",-24.83331299,48,1,0,0,response7disk,3.166687012,2.666656494,1,0,0,rectangle,3.166687012,2.666656494,1,0,0,3,3,0.0006,0,3.166687012,2.666656494,1,0,0,0,127,127,81,1,0,second,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
